,url,link_text,tokens,token_values
94910802,data.stadt-zuerich.ch/dataset?q=miv&res_format=csv,csv (5),miv__fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__datensätz__dataset__signalisierte__kategorie__csvdxfgpkgjsonshpwfswmswmt,0.11580150716709735__0.07155202046241066__0.07016650217495572__0.07016650217495572__0.06952773637918018__0.06930799987029974__0.0683411585173637__0.06725831384870988__0.06602829119384807__0.06368145972596195
94910809,data.stadt-zuerich.ch/dataset?q=miv&res_format=dxf,dxf (2),kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__formate__richtplan__tag__lizenz__anzeig,0.09692226230289624__0.09347737207480654__0.09291626920998297__0.08571896873704332__0.08499193186575953__0.08204142694315275__0.0745070175836104__0.07392229927682704__0.07280780175309047__0.07161646379042047
94910804,data.stadt-zuerich.ch/dataset?q=miv&res_format=gpkg,gpkg (3),emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__gpkg__richtplan__tag,0.08676852542368105__0.08544055935839848__0.08451621272812551__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.06680234744858955__0.06497011933290826__0.06446024496939318
94910803,data.stadt-zuerich.ch/dataset?q=miv&res_format=json,json (5),miv__fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__dataset__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert,0.08965277974226891__0.07386015015474649__0.07242993772898655__0.07242993772898655__0.07177056658496017__0.07054571201792383__0.06890367690193425__0.06815823607106897__0.06573570036228331__0.06534111834766544
94910810,data.stadt-zuerich.ch/dataset?q=miv&res_format=pdf,pdf (1),datensätz__kategorie__miv__individualverkehr__formate__motorisiert__tag__lizenz__anzeig__sachdan,0.12186021955217535__0.11609369880237022__0.1018035227842614__0.09976897042084487__0.09826940150333681__0.09555204076897447__0.08854429254037524__0.08720934495699847__0.08578235772698715__0.07877560326663775
94910805,data.stadt-zuerich.ch/dataset?q=miv&res_format=shp,shp (3),emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__richtplan__tag__lizenz,0.08746827159645267__0.08612959612741782__0.08519779508883621__0.08216962545285413__0.0816763979345818__0.07534973864788484__0.07471064978522408__0.06549407190817366__0.06498008565463022__0.06400040637973274
94910806,data.stadt-zuerich.ch/dataset?q=miv&res_format=wfs,wfs (3),format__emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__wfs__richtplan,0.08801580705069484__0.08676852542368105__0.08544055935839848__0.08451621272812551__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.06622957243742449__0.06497011933290826
94910807,data.stadt-zuerich.ch/dataset?q=miv&res_format=wms,wms (3),format__emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__wm__richtplan,0.08801580705069484__0.08676852542368105__0.08544055935839848__0.08451621272812551__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.07380532893973855__0.06497011933290826
94910808,data.stadt-zuerich.ch/dataset?q=miv&res_format=wmts,wmts (3),format__emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__wmts__richtplan,0.08801580705069484__0.08676852542368105__0.08544055935839848__0.08451621272812551__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.06641815630493773__0.06497011933290826
94910811,data.stadt-zuerich.ch/dataset?q=miv&res_format=zip,zip (1),datensätz__kategorie__miv__individualverkehr__motorisiert__zip__tag__lizenz__anzeig__format,0.12186021955217535__0.11609369880237022__0.1018035227842614__0.09976897042084487__0.09555204076897447__0.09176146627553511__0.08854429254037524__0.08720934495699847__0.08578235772698715__0.08060055590722971
